Name,BestArchetypePvE,BestArchetypePvP,PvEScore,PvPOffenseScore,PvPDefScore,DemoPrelimScore,DemoBossScore,Pros,Cons,Notes
"Thor",P,P,3,2,2,2,5,"Mjolnir deals massive damage against single targets, ideal for Bosses and Democalypse.
Panels grant him a lot of damage, making him an ideal Elec mage especially with Elec Pierce in Purple.","Weak to Force
High STR is wasted on him as an Elec Mage. Megaton Raid and Charge are wasted slots.
Random targetting is very hard to use for PVP.","AI is extremely bad on Auto, as Charge will mess him up."
"Tokisada",RP,P,4,3,3,2,5,"Flag of Salvation boosts your entire team's light damage, making him useful for Brands of Sin: Sloth 11 and Light Democalypse. It also passively restores 1 MP to your whole party when clearing a wave.
Amakusa Uprising deals heavy single target damage and can crit. Combined with innate Death Blow and Light Amp in purple, this makes him a very strong Light nuker, especially with Panel 2 unlocked. It also provides your team Tarukaja and Sukukaja buffs, allowing your following demons to hit harder.
Great set of Transferable skills being one of the only two sources of Death Blow and the only source of Auto-Rebellion.","Requires Panel 2 to unlock his full potential for PVP, as being able to guarantee crits for extra turns is very powerful.
Only has pierce through Amakusa Uprising, no Piercing AOE.
Needs accuracy investment for PVP, as Amakusa Uprising can miss.","Light is a very good element in the current Meta, as several popular demons usually do not have it covered (Alice A, Nebiros and Hecate to name a few).
The additional MP from Flag of Salvation allows your other demons to drop Divine Brands and/or Mana Aid in favor for more offensive brands and passives.
Red gives is discounted Mahamadyne. Note that having this unlocked might mess up your Brands of Sin: Sloth 11 runs, as the AI will prioritize it over Amakusa Uprising."
"Trumpeter",Any,P,2,2,2,1,1,"Apocalypse deals heavy Almighty AOE damage while having a high mute chance for a low MP cost.
Access to Concentrate to further increase his damage.
No weaknesses and 2 Nulls give him a lot of flexibility in skill transfers.","Very high MP costs.
Difficult to further boost Apocalypse damage.
Hard countered by Five Elements, plus stiff competition from other Almighty sweepers like Mother Harlot.","-"
"Tzitzimitl",Any,RP,2,3,2,1,1,"Demons die when they are killed by Dark Premonition, unable to be revived.
Revive seal is very useful in certain PVE content (like several AG2 bosses) and to counter Nebiros and Xi Wangmu revive strats in PVP.
High innate dodge rate which compliments the Mute from Dark Premonition.
Red gains discounted Mind Blast, which can be used to further disable enemies. Purple gains Enduring Soul to bolster her survivability.","Needs to be below 50% HP to unlock most of her kit, making her a glass cannon.
Dark Premonition only has mediocre base damage, and can be stopped by Dark Anti-Pierce such as Rama + Masakado.
Mediocre stats.
Ailments fall flat in late PvE because of inflated enemy stats.
Weak to Light","Tzitzimitl bears special mention as a hard-counter to Moirai Sisters, especially for target/revenging. If she can survive Passionate Rage (not hard if you run Purple), she will gain immediate access to Disastrous Eclipse and Star of Darkness, letting her fire off hard-hitting AOE Revive Seals. Pair her with Tlaltecuhtli and fodder demons sporting Auto-Rakunda and Auto-Taruka to get an immediate buff swing."
"Uriel",TP,P,4,4,4,4,5,"One of the core demons in the Archangels archetype. When combined with two other Herald or Divine demons, God's Fire dishes out massive damage even before battle really begins.
God's Fire gives your party a Tarukaja attack buff, and at Panel 2 even adds in a Rakunda debuff, swinging offensive buffs to your favor.
Chain effects do not consume press turns even when hitting NDR.","Needs Team built around him
Chain effects kills demons before they have a chance to talk, making him less useful for Aura Gate.
Weak to Dark","Reflected God's Fire will damage him because of innate pierce. Beware of Alilat and Atavaka.
Requires additional MP Support when going against Alice A teams."
"Vairocana",YP,TP,3,4,4,3,1,"Radiant Mantra constantly resets all buffs and debuffs at the start of enemy turn. When used in a slow team, this allows him to nullify auto-skills, giving your team more flexibility in skill transfer.
Good repel resistances makes him a natural partner for Alilat and Atavaka. Fire and Light repel is especially useful to counter Archangel teams, as it makes him immune to both their AOE elements.
High MAG and Butcher in purple allows him to function as a strong almighty sweeper. In addition to dealing respectable almighty damage, Path of Prominence also applies a mini Luster Candy buff, extending his role as a buff control specialist.
Yellow gives him access to discounted Mediarahan, allowing him to function as a decent PVE Healer.","Very hard to further boost his damage.
Despite wanting to go second to fully abuse Radiant Mantra, his AGI is on the high side.
Very high MP costs. Even with maxed Path of Prominence and Divine Brands, he won't be able to spam it consistently unless Panel 2 is also unlocked.
Full Almighty / non-Piercing kit means he is shut down hard by Five Elements.","Radiant Mantra is very useful for certain PVE content to remove Fast Luster Candy and Fast Debilitate.
Good synergy with Skull Knight - Radiant Mantra will purge away all debuffs, allowing Foe of Demons to guarantee a Sukukaja and Rakukaja buff."
"Vasuki",RP,CP,2,2,2,2,5,"Innate Ice Boost and Butcher in Purple make him a powerful Ice Mage.
Halahala deals massive damage against single targets, ideal for Bosses and Democalypse.
P3 autocasts Rakunda, which is invaluable in Democalypse boss phases where buffs are hard to come by.","Poison (and by extension Insanity) does literally nothing for his Ice builds.
Lacks of pierce and being limited to only random targetting makes him very bad for PVP.
Weak to Fire","-"
"Vishnu",CR,R,2,3,2,1,2,"Good bulk make him a tanky Mage thanks to Avatar.
Gains discounted Megidolaon in Red.
Healing and MP reduction from Panels further his tanky Mage role.
Low AGI makes him ideal for budget slow teams.","Weak to Fire
Low damage output compared to Top Tier demons.
Needs heavy investment in Brands and Panels to be usable in PVP.","Low AGI forces him into slow teams, but slow teams prefer very high damage demons (even if their MP cost is high) rather than demons able to spam low MP-cost low damage attacks."
"V☆",Any,YR,2,4,4,1,1,"Griffon-Bolt is borderline oppressive when combined with Turn 1 teams with lots of Crit passing for Press Turn generation. Good teammates include Masakado A, Asura Lord and Kartikeya.
Will virtually never have MP issues thanks to Shadow-Shock giving him a free Almighty ST attack.
Balanced stats and no weaknesses give him flexibility in transfer skills.
Red and Yellow give him an Almighty AOE skill that debuffs.
Laughs at his enemies occasionally","Very harshly countered by Five Elements on Defense, as the AI does not know how to pass and will lose press turns attacking into it.
Relies on auto-attacks, does not contribute much if his teammates are spamming skills instead.
Demons with AOE reduction passives like Hecatoncheires and Orcus significantly reduces his damage.","Limited-time Collaboration unit. Nobody knows if he will be rerun."
"Xi Wangmu",Any,P,3,5,5,1,1,"Peach of Immortality gives all your demons two extra lives. This is especially powerful if coupled with naturally tanky demons like Hecate and Guan Yu, or demons with on-death effects such as Ixtab and Nadja.
Goddess' Fan removes all buffs from the opponent and fully debuffs them, swinging buff advantage in your favor.
Above average bulk and Null Mortal in purple allows her to survive most onslaughts and resurrect her fallen teammates.
Decent PVE Healer with innate Mediarama.","Hard countered by revive sealing skills such as Sword of Actuation.
Peach of Immortality can be blocked via Bind. Null Bind is recommended to remedy this.
If multiple demons are killed at once through the same AOE, Peach of Immortality will only trigger once. This slightly disadvantages her in regards to AOE sweeping.","Demons are immediately raised by Peach of Immortality upon death. This can be a disadvantage against Hyper Offensive comps, who can simply kill said demon again in the same turn."
"Yama",RP,P,3,3,3,4,4,"Very powerful Dark Mage. Guilty passively increases his dark damage while dealing bonus damage at the start of a boss wave.
Only true Dark Pierce demon in Purple.
Enma's Judgement provides team-wide Null Mortal and Rakukaja, which can be very powerful in PVP depending on tier.
Trivializes Brands of Sin Vanity 11, works well for Aura Gate.","Guilty only works on Boss wave, rendering it useless for PVP and most of PVE.
No AOE spell unless Red (which then loses Dark Pierce).","-"
"Yoshitsune",TP,TP,5,2,2,4,5,"Widely considered the best demon for PVE as he has access to an AOE in Vorpal Blade, a boss-killing skill in Hassou Tobi, MP refresh in Mana Aid and a damage booster in Phys Amp.
Innate Mana Aid lets him repeatedly spam Vorpal Blade or Hassou Tobi in PVE.
Hassou Tobi does massive damage against lone targets, making it ideal against bosses and Democalypse.
Teal can be used to cheese certain PvE Content.
Excellent set of panels that grant him Accuracy, more MP and more damage.","Only native pierce on Hassou Tobi.
Random Targetting on Hassou Tobi makes it bad against Waves and in PvP.
Will have MP issues if Panel 2 is not unlocked.","-"
"Zaou-Gongen",R,R,5,4,4,4,5,"Kongo Zaou is a powerful passive that grants Phys Pierce to all your demons under Rebellion. Hell Gongen is a team archetype based specifically around this ability.
Panel 3 grants team-wide rebellion whenever he crits. This is very powerful for Physical-based Hero Masakado T1 teams, as it cranks up their damage to insane levels and guarantees virtually infinite crits.
Red gives him a cheap AOE attack in Herculean Strike.
While not common, he can work as a Fire Mage as he has passable Magic and Fire Amp in Purple.
Great set of Panels that provide additional damage, accuracy and team-wide Rebellion.","Weak to Elec
Middling AGI affects his Accuracy and Speed. Missing can be disastrous for a Masakado A team, as they aim to win on the very first turn.","Auto-Rebellion is a very powerful transfer skill for him, as it will guarantee he can start the crit loop."
"Abaddon",TY,TY,1,1,1,0,0,"Null Phys in teal is handy for early-mid game.
Good STR/VIT","Doesn't carve himself any niches that others don't do better.
Maragion serves little use on him due to low MAG stat.
Low AGI","-"
"Abaddon A",TR,T,4,1,1,0,0,"Lord of the Abyss's auto-debuffs make him a staple demon for all elements of Democalypse (Boss phase).
It is also designed to hard-counter Brands of Sin: Deceit 11.
Repel Phys in Teal and innate Repel Fire are great paired with Alilat
High VIT so he can make use of Muscle Punch","His PVP role is as Anti-Phys unit when paired with Alilat or Atavaka. But he is outclass by other Repel Phys demons.
Drags speed down greatly due to low AGI which is bad in PVE.
Not good for waves before boss.","In general good against bosses notably Aura Gate because bosses don't have waves.
Be very mindful of battlespeed when using him for Democalypse bosses! If you are outsped by the Boss, it will cause you to lose one whole round of Debilitate, as it ticks down at the end of the Boss' turn!"
"Agni",YP,P,3,2,2,0,0,"Auto-Rakunda in Purple or Fog Breath in Yellow.
Excellent in all non-Phys Boss Democalypse due to Ignite Def auto-debuff.
Excellent Panel 3 (Fire Pierce (weak) on crack).","Panel 3 is very hard to get as he is Banner exclusive and aiming for P3 isn't necessarily the best choice because dupe Agni serve well in Democalypse.
Does not have a noticeable damage output kit even Paneled.
Not much better than more common 4-star for PVE.","Middling AGI: unfit for Fast or Intimidating Stance Teams.
Fire/Dark are his best elements in Democalypse] due to the waves having Rakukaja."
"Anubis",P,P,3,2,2,0,0,"High MAG stat of 217 makes him a good budget mage even for elements other than dark.
A budget choice for any non-Phys Democalypse due to Merciless Blow in Purple.","Low AGI + Low VIT isn't a good combination for survivability. His downfall mid-game outside of Democalypse.
Doesn't benefit much from his high LUK stat.
No innate AOE and is not the best single target damage dealer either.",""
"Anzu",RP,YR,2,2,2,0,0,"Decent AGI.
5MP double debuff in Yellow. (also innately has another double debuff)
Excellent demon for Elec Democalypse.","Force weakness.
Low VIT.
Underwhelming outside of Democalypse","Unless you want to use him outside Democalypse just use him in purple for Elec Boost.
Thunder of Destiny is the reason for his excellency in Elec Democalypse due to getting a free weakness/damage multiplier at the beginning of 2nd turn."
"Attis",C,C,2,2,2,0,0,"Innate Enduring Soul and Recarmdra which are good support skills that synergyze well.
No weakness.
The result is he has 2 completely free transfer slot.
Okayish innate bulk in P3.","Doesn't have many other uses.
Can't make much use of unique skill Mist Slashes despite having decent power behind it's also random target...","The skills you will transfer to him determine what other supporting role he'll have in addition to reviver."
"Azrael",CR,RP,2,1,1,0,0,"Has access to both Tetrakarn/Makarakarn in Clear, which can serves a niche in Early PvE when you don't have access to many mirrors.
Respectable MAG of 194.
Decent bulk for a mage and panels support it.","Has no innate skills to boost his good mag stat.
He loses his niche of double karns in late PvE and PvP due to the prevalence of Pierce.","Outclassed in Democalypse as a Fire/Dark attacker but still good with investment."
"Beelzebub",CY,CY,3,2,2,0,0,"Has high survivability due to Gluttony, which deals good aoe damage and heals himself.
Suitable option for Dark Democalypse and Brands of Sin
No weaknesses.
Synergy with Lucifuge in Yellow.","Suffers the same issues that Black Frost has in PvP that being Rama + Masakado and Atavaka + Hecate
Stats are subpar even with panels other than MAG.
Gluttony can't be used T1 in PvP.
Requires P3 for Dark Pierce.","Beelzebub and Black Frost are comparable when it comes to dark damage but Beelzebub at full potential does the most overrall, which requires Panel 1, 2 and Lv 5 Gluttony"
"Beiji-Weng",TYR,RP,2,2,2,0,0,"Surprisingly fast despite being a dude encased in ice, making him a decent choice in speed teams especially with panels.
Good MAG stat and serves as an ice mage.
Is a good demon for Ice Democalypse in Red due to low amount of good ice users.
Can exploit the plentiful amount of demons with an ice weakness.
One of the few Repel Ice demons (in Teal) as well as the cheapest one making him quite useful combined with Alilat against specific PvE content especially Bosses.","Struggles against bulkier demons like Hecatoncheires and HP sponges in PvE.
Glacial Blast is a redundant skill that serves him little.
No Pierce meaning walled against demons that N/D/R Ice and Judgement isn't a reliable choice against them even at 7 MP.","While not exactly optimal in PvP, he does have access to Null Curse so he has decent potential when targeting specific teams."
"Bishamonten",R,R,1,1,1,0,0,"High STR/VIT
Access to single target/aoe physical skills.","Low MAG stat meaning Bufudyne is a wasted skill on him
Doesn't perform any roles that others can't already including other 4*s such as Wu Kong","-"
"Cerberus",Y,Y,3,1,1,0,0,"Hell Claw is a strong unique
Versatile demon that can provide multiple roles early-mid pve as support with debuffs/buffs, Physical attacker or even provide some mage coverage.
Works ok on boss wave of physical Democalypse if you're lacking demons for it.","Falls off hard late game due to his jack of trade nature.
Jack of all trades but only has average stats.
Not much use late game or in PvP.","-"
"Chernobog",RP,RP,2,3,3,0,0,"Ailment chain effect inflicting poison and bind if P3.
Perfect synergy with Nergal.
Decent physical attacker with Dark Sword in Red and innate Hades Blast","Somewhat low AGI: this is bad for Ailment Team
Strongly needs Nergal to have some viability in PVP.
...but Nergal himself isn't necessarily the best demon for an Ailment Team.","Needs P3 to be viable in PVP otherwise his usefulness is near none."
"Dantalian",TP,TP,2,2,2,0,0,"Overall decent stats and High MAG/VIT stat.
Functions as tanky mage with supporting skills.
3 resists and 1 null.","Two weaknesses hurts their viability for the most part.
Doesn't have much niche other than being a tanky mage.
MP expensive skills","-"
"Dionysus",C,C,1,3,3,0,0,"Very high luck stat meaning he inflicts ailments often and doesn't take crits as often.
Panels that benefit from his luck such as crit resist/ailment infliction
Has some potential in stall teams","Has no attacking skill despite innate back attack
Only can be clear
Only can cause status from Euphoric Frenzy, which only activates when hit physically.
Meaning you have to transfer an ailment skill and else he is a dead weight with no skill to use in battle.","He doesn't have to be used just to use ailments as he can be used as a surprise ailment counter due to LUK/innate Infernal Mask, this would require a Prayer transfer though and min ailment chance exists."
"Fenrir",RP,RP,4,3,3,0,0,"Budget speedster in Purple and a high AGI stat to take advantage of this.
Innate Auto-Taruka gives him a niche over another budget Speedster Sleipnir.
Versatile enough to allow him to support or be offensive.","Low offensives stats that are only borderline usable late in the game without high investment.
General low stats outside of AGI.
Two weaknesses is a nuisance if you can't beat the opposition in a single turn.","He may not be as good as Garuda or Hresvelgr but his staying power as a effective Speedster lasts for some time nor does he need a Speedster transfer.
He is also a LOT cheaper to fuse than the other two."
"Ganesha",T,T,1,3,3,0,0,"His unique passive Faith in Wealth is an anti-Intimidating Stance team that gives 1 MP per turn lost.
High STR/VIT","Outclassed by Parvati and pairing them both up is overkill.
His unique isn't helpful most of PvE.
Low AGI doesn't help either for his role.
He's passive in most teams, he's in due to lack of pierce.
Two weaknesses.","He's only outclassed by Parvati. Not necessarily worse, he just doesn't offer as much as her like Auto-Sukuka."
"Girimekhala",R,R,2,2,1,0,0,"High STR stat
Mega Boost is Charge and Rebellion in one allowing him to hit hard the next turn after it's use.
Access to a single target and aoe physical skill.
One of the few demons with repel phys.","3 Weaknesses.
Low stats outside of STR.
Outclassed by other physical demons of his rarity even with Mega Boost","His panel 2 gives him a rare -25% to physical damage, which only two 5* have access to Siegfried and Gogmagog."
"Gucumatz",TY,TY,3,2,2,0,0,"Fairly bulky with his given stats/panels.
Low AGI stat but is low enough that it's actually good for slow teams.
Has a rare skill in the form of Auto-Tarunda
Excellent panels","Two awful innate attacks making him very passive in PvE and PvP.
This diminishes his support role.
Fire Weakness.","-"
"Gurr",RP,RP,2,3,3,0,0,"He is a very high AGI demon with Speedster. In PVE, having one of those (high AGI with Speedster) in the team is near mandatory.
Yaksha Claw a passive quick effect that can inflict Bind: ailment passive quick effects are extremely precious for Ailment Team.
This passive pairs perfectly with Pale Rider one of the strongest ailment demon of the game.","2 weaknesses
Phys weakness is extremely disavantageous.
Yaksha Claw is random target instead of AOE.","Yaksha Claw cannot bind if it gets Nulled, Repeled or Drained.
It makes the use of Phys Pierce (weak) mandatory for a PVP build.
Isn't the best Speedster in PvE due to his Phys weakness... But Hresvelgr has Phys Weakness. The difference is Hresvelgr actually does decent damage."
"Hanuman",C,C,2,2,2,0,0,"High STR
Hits hard with Vorpal Blade.
Can work for Autoing Brands of Sin stages","Lacks a single target physical skill
Bad awakening skills even the rare Repel Force is nigh useless.
Middling AGI and frail.
Low MAG stat yet has Mazanma
Outclassed by a better Monkey, Wu Kong","-"
"Halloween Jack",C,C,3,2,2,0,0,"MahaLatine is a multi-hit version of Maragion, which is appreciated due to fact it helps get passed Endure and it's variants.
Good MAG stat.
Decent choice for fire Democalypse
Great option for floors 21-30 of AG2.
Innate drain fire","Event only
Needs Fire Pierce (weak) to be of much use in PvP.
Middling Agi","Not likely to get 4* panels in the future."
"Hecatoncheires",CT,CT,2,3,3,0,0,"High STR/VIT/STR
Pairs well with slow teams due to having the lowest AGI in the game.
One of the best users of Recarmdra
Guards of Tartarus is a great supporting passive that lowers aoe damage by 15% while he's alive.
Has access to Auto-Rakuka and Drain Phys two excellent skills.","Needs some accuracy investment on defense to avoid consistent misses plus has to deal with the abundant N/D/R physical.
Two weaknesses
Very passive demon that doesn't do much in the way of damage or even support on his turns.
Is only niche for PvE.","Getting powercrept by better support demons... And his panels did nothing of note.
Can be used as a ailmenter"
"Hel",RP,RP,2,2,2,0,0,"High MAG stat and serves as an ice mage: both an uncommon and good element as many are weak to it but few Repel/Drain/Null it.
Making her a good candidate for Ice Democalypse
Call to Helheim is pretty decent passive in PvE as opportunities to debuff every wave aren't common.","Mamudo does little to benefit her and has no pierce.
Call to Helheim isn't great for PvP due to the typically fast pace nature of it.
She has to kill for Call to Helheim to activate.
Frail and has middling speed.","Not worth considering for PvP use unless Panel 3."
"Hell Biker",TP,P,4,3,3,0,0,"Makes up one the best PvE teams in the game Hell Gongen.
His role is to cast Red Zone granting might to all; a guaranteed crit to all.
The state of might paired with Zaou-Gongen allows all physical attacks to pierce even those without it.
Innate speedster and top tier AGI 229.
Panel 3 makes Red Zone cost 5 MP.","He only has average attacking stats.
Maragion isn't a great skill on him.
Only benefits physical demons.","Isn't nearly as good without Zaou-Gongen."
"Helper Frost",C,C,2,2,2,0,0,"MahaFrosty is a multi-hit version of Mabufula, which is appreciated due to fact it helps get passed Endure and it's variants.
Good for Ice Democalypse especially due to limited options for it.","Low Agi and only passable MAG stat
Needs Ice Pierce (weak) to be of much use in PvP.","Unlikely to get 4* panels in the future.
Event Only
Arguably worse than 1* Jack Frost since he doesn't have Tag, a niche of his 1* self."
"Jeanne d'Arc",TY,TY,3,3,1,0,0,"One of better 4* support demons
Orlean Prayer can be used to give 3 MP to a demon: in PVP, this can allow some demons to unleash spells they couldn't have T1.
Panel 3 gives Orlean Prayer a 1 turn Tarukaja/Sukukaja, which is fairly useful.
Has a good AGI. Perfect for this strategy.
Infinite use Orlean Prayer.","Healing is not very powerful in this game.
Despite how good Orlean Prayer in P3 is, PVP is too fast and each turn press are too precious for such strategy to be good in general usage.
The AI won't perform such T1 strategy.","Weak to Fire lol"
"Jikokuten",YP,YP,2,2,2,0,0,"Only demon with the ability Suppress Stance Drain
Can serve a niche early on with his ability especially against bosses in PvE.","Average stats and two aoes
Has no drains to take advantage of his unique and drains are fairly rare
His ability is too situational to reliably use in PvP even with Rama
Depressing panels","-"
"Kama",C,C,1,1,1,0,0,"Very high AGI and innate Speedster allow him to play the role of Battle Speed booster.
A high damage unique in the form of Divine Bows' Allure with a chance of charming.
Speedster is transferable: he is THE Speedster fodder.","A pathetic MAG stat making his unique very weak.
Doesn't do anything except boosting Battle Speed.
Outclassed as Battle Speed booster by most 210+ AGI demons.","Just use Fenrir lol and use Kama as Speedster fodder."
"Kikuri-Hime",TR,RP,2,1,1,0,0,"Has Tetraka Shift in Purple.
Decent MAG.
While far from the best using her in Fire Democalypse isn't a bad idea.","Bad AGI.
Low VIT.
Awkward skills
2 weaknesses.
Dark weakness is particularly bad in PVP.","-"
"King Frost",TY,TY,3,2,2,0,0,"Has High VIT for a mage meaning he's fairly bulky.
Has a powerful ice skill Cold World, unique to him.
One of best demons for ice Democalypse.","Cold World has no levels and since it's an AOE without pierce Ice N/D/R are troublesome.
Megaton Press doesn't have any merit on him.
One of the slowest demons in the game with 76 AGI and only above average MAG stat.","-"
"Kudlak",RP,RP,2,2,2,0,0,"Dark Pandemic is a cheaper Dekaja if maxed while casting a random debuff.
This makes him a good early game support demon.
One of the few demons with Drain Dark.","Panels don't add much to him
Underwhelming stats outside of LUK, which he doesn't make much use of.","-"
"Loki",CYRP,T,4,2,2,0,0,"Strong and surprisingly tanky mage
Trickster gives him a 20% chance using no press turns when he hits weakness.
Pairs well with the Dx2 Chalk Eater.
Serves plenty of niches late game PvE such as Celestial Baihu and Celestial Feng Huang.","Relies on transfer to excel in damage.
Low AGI","Trickster doesn't work in democalypse."
"Long",P,Y,3,2,2,0,0,"A good speed stat and mag for a 4*
Purple gives Mana Aid an excellent PvE skill.
Decent damage output for PvE if a Force AOE is transferred.
Functions fine in Force Democalypse
High AGI + Dragon Sense allow him to be built as an evade tank.","Extremely low LUK penalizes the evade tank build.
No innate AoE.
Much better Force users exist for PvP.","-"
"Man Eater",TP,P,2,2,2,0,0,"Her unique passive Sass lowers the defense of the team for 3 turns when the enemy is charmed. Useful in wave based battle due to Auto-Rakunda only working on the first wave nor having to waste a turn casting a defense debuff.
High LUK and access to a rare skill Insanity in purple making her good at inflicting ailments.
Panel 3 gives Sass an Sukunda effect as well and panel 2 raises ailment infliction.","Fairly slow making her teams take the risk of being outsped.
Low STR/MAG","-"
"Matador",YRP,YRP,3,3,3,0,0,"Innate EV of 40% with max Andalucia.
Andalucia does a four 30 BP damage physical attacks when he evades a physical attacks.
Excellent AGI/STR stats
All of his archetypes have a niche but Red is preferable in most cases.","Lack of Physical Pierce hurts his pros greatly as he does only chip damage against physical NDR with even Phys Pierce (weak).
A decision must be made whether he should have more EV% or Physical Attack%.
He's frail due to low VIT and if he is facing magic skills... He will have a bad time.","-"
"Mishaguji",Y,YP,2,2,2,0,0,"Arcane Ritual is a unique that increases the parties ailment recovery by 20%, which isn't bad at all.
Good MAG stat and passable speed allowing him to function decently as a mage.
Not a bad choice for Elec Democalypse","Auto-Cure increase isn't as good as having an ailment cleanser nor reliable.
Two weaknesses.
Needs to be alive for the unique to work and he's frail...
Lacks single target skill.","-"
"Nekomata A",TYP,YP,1,4,4,0,0,"Has a very high speed stat 226 or 246 with max lv Pussyfoot + Innate Speedster
Great support for teams that rely on speed like ailments while also boosting the entire parties EVA by 20%.
Has a good luck stat to inflict ailments or could provide auto-buffs/debuffs in her transfers.
Innate Evade helps her dodge and support role.","Not too many cons to speak of but her role is dependant almost entirely on transfers.
Magic makes short work of her.","Cat"
"Neko Shogun",C,C,1,3,3,0,0,"His unique Shogun's Order boosts ATK/EVA/Accuracy when enemy is muted. These are the best boosts for the teams, he fits in.
Good AGI/LU stat
Panel 2 and 3 serve him greatly such as granting EV% and Ailment Infliction%.","Average MAG stat making Mediarama and Mazionga fairly weak for his kit.
Expensive Fusion due to requiring a valuable resource of one of each mitama.
Shogun's Order lasts only a turn meaning turns needs to be set up well to take advantage.","84 Mitama (21 of each) is required for P3... and still costs a decent sum of 6 mil mag."
"Nidhoggr",TP,TP,1,4,4,0,0,"High survivability due to innate skills (esp. in Purple) and Stats.
Nastrond is very strong in Offense PVP as the AI may not target him first. This allows him to survive popular Turn-1-Kill-Defense Teams reliably. Transfer him Recarmdra to turn the table.
Decent LUK stat makes Mahashibabooon a decent transfer, which is to be cast before Recarmdra to make sure the revived allies won't die (Turn-1-Kill-Teams do not use Anti-Ailment techs).","Fairly passive due to serving a primarily supportive role especially against teams with anti-ailments/cleansers.
Two weaknesses can be hindering.","-"
"Oberon",RP,P,3,1,1,0,0,"Top tier MAG stat of 216
Has potential in Democalypse even outside his element.
Strong mage early pve with even skills like Agi and Bufu","One of slowest demons in the game and doesn't gain much of note by going second.
Also one of worst LUK stats in the game while also having Mahamarin Karinon making it a wasted slot.
Auto-Sukuka albeit a great skill isn't so much on Oberon for his role.","-"
"Odin",RP,RP,3,2,2,0,0,"His unique Gungnir is a great physical aoe.
Has access to a single target physical skill in Red.
Works well in the popular Hell Gongen team.","Average stats with only decent STR and particularly slow.
Needs skills to boost his damage output or accuracy if not Purple.
Gungnir is MP expensive.","-"
"Ongyo-Ki",YP,YP,2,2,2,0,0,"High STR and Decent VIT while providing decent support.
Has innate Auto-Rakuka and access to Nocturne a good support skill.
Panels that all around support his role.","Mabufula has no practical use with MAG stat of 86.
Below Average AGI
Outclassed by other physical demons.","Not a practical note but he's arguably the best user of Blight sadly only obtainable from Fafnir."
"Orochi",TP,P,2,1,1,0,0,"Has access to the valuable Aura Gate skill Dmg Panel Immunity making him an excellent choice to give Void Dark Zones to, meaning only one demon is needed to null both of the negative tiles in AG.
High STR and Auto-Taruka.","Has Bufudyne yet a very low mag stat.
No Single Target Physical Skill.
Not great outside of AG.","-"
"Pallas Athena",P,R,3,1,1,0,0,"Good STR/LU/AGI supporting her role as an offensive unit.
Functions as a budget Yoshitsune due to Mana Aid in Purple.
Excellent choice for farming Brands of Sin/Aether and wave-based story missions.","Outclassed by Yoshitsune in every way if you happen to own one.
Yoshitsune step-up banner for beginner exists.
Holy Wrath and Resist Force are wasted skills on her.","-"
"Parvati",C,C,1,3,3,0,0,"Her unique Joy Song makes her function as a counter to the popular Intimidating Stance skill in PvP.
Learn more at Parvati Team.
Has Auto-Sukuka a rare and useful skill for the teams, she functions in.","Average stats across the board
Very lackluster for PvE even as a healer.
No entirely useful innate skills albeit Recarm is niche... Still relies on transfers.
Let's not speak about her panels
18 Million MAG for 15% Healing","-"
"Pazuzu",TYR,Y,3,1,1,0,0,"One of the best healers in the game due to high mag and considerable bulk
Great for early-mid pve.
Red is a good in the prelims of dark Democalypse.
Will hit for decent damage due to high mag.
Immune to the primary elements of the Dark Aether Quests if teal.","Healing falls off almost entirely late pve and not a good role in PvP.
Lowest luck stat in game meaning crits/ailments will hinder him greatly.
Mediarama is MP expensive
Purgatory isn't a great offensive skill.","-"
"Persephone",TY,Y,2,3,2,0,0,"Niche ailment cleanser in Yellow due to the rare Prayer skill
Fruit of the Dead makes the opposition revive with one 1 HP further giving her a niche.
Above average stats with High LUK
Her panels are beneficial.
One of the core demons to commonly beat Hell's Park 100.","Asherah a popular reviver gives one press turn with Mother's Creation, which is enough time to possibly come back even with 1 HP especially if Guan Yu is the recipient.
This con applies to Nebiros too.
Struggles with transfers due to having no innate ways to stop prevent ailments on herself.
Not stand out in PvE barring a few bosses.","-"
"Prometheus",RP,P,2,2,1,0,0,"High MAG of 226
One of the strongest fire mages in the game making him an excellent choice for fire Democalypse in Red.
Low AGI but low enough that it's good for slow teams.
Makara Shift further benefits a slow team.
Purple has Infinite Chakra a skill that give 4 MP per turn and pairs well with him.","He's frail and slow, which isn't the best combination especially in PvP.
N/D/R Fire is a major hindrance to him in PvP.
Ice weakness","-"
"Rakshasa",C,C,3,2,2,0,0,"High STR/AGI
Works well in Hell Gongen as his ability Rasetsu puts him in a state of might.
Note: Rasetsu works once per wave furthering it's niche.
All his panels are good.","Lacks a physical AOE
Needs transfers to help his damage output.
Two weaknesses.","-"
"Rangda",Y,Y,2,2,2,0,0,"One of the few demons with Phys Repel meaning she pairs well with Alilat
Access to Recarmdra allowing her to function as a support role
A good demon to have early on due repel phys.","Only average stat overall and has below average VIT making her somewhat frail.
Outclassed by other demons with physical and repel and Quetzalcoatl
All of her moves are MP expensive.","One of the few demons that take reduced phys damage if panel 2."
